id,Robot Name,Robot Type,Map Name,Error Code,Title,Description,status,Assigned User,note,Time Stamp,Resolution Time,Resolution Time (s),Unique ID
380340,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:34:37 +07:00,00h 00m 15s,15,c43b49cd-989f-4af3-b54c-1757b65ffcf4
380339,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:34:31 +07:00,00h 00m 53s,53,dd43583e-0132-4688-bbe0-b56f543bc70c
380338,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:34:28 +07:00,00h 00m 02s,2,cb5fc701-4267-4af6-8b7a-a22593f9f30c
380337,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:33:20 +07:00,00h 00m 01s,1,becaea43-3c5d-4cbe-8de0-df1620511786
380336,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:33:18 +07:00,00h 00m 02s,2,fa329921-c834-4b2b-9c65-bc65e88e36ba
380335,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:32:22 +07:00,00h 00m 00s,0,d015a129-6efd-4c09-8ca6-4117716dca60
380334,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:32:21 +07:00,00h 00m 01s,1,b262ed02-fd85-4d4a-86be-10182ec961a3
380333,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:32:06 +07:00,00h 00m 00s,0,28de60e6-db82-4246-8c69-a4049811b7bf
380332,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:32:05 +07:00,00h 00m 01s,1,24e0bdfe-3e6b-4dc3-99f4-5be82e764e4e
380331,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:31:50 +07:00,00h 00m 00s,0,42df9ac8-ba1d-4771-b821-8fd2887d7cba
380330,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:31:39 +07:00,00h 00m 11s,11,c28fa108-4ab3-497c-a483-53bba8e2d40c
380329,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:31:08 +07:00,00h 00m 01s,1,78f7f124-7894-456a-b3c1-76d99e868ab6
380328,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:31:06 +07:00,00h 00m 02s,2,09b45024-c189-44ba-86c7-382b9c81f862
380327,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:30:57 +07:00,00h 00m 00s,0,1bbcb404-b103-41b5-9aeb-a8cb46eda21b
380326,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:30:53 +07:00,00h 00m 03s,3,fc3dc534-0517-48d0-9612-ee18686ab01c
380325,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:26:56 +07:00,00h 00m 00s,0,e5ea49ed-d67f-4679-995c-b236923dd780
380324,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:26:55 +07:00,00h 00m 01s,1,dc6d670d-71a2-4a23-9818-b1bb18590ce1
380323,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:26:43 +07:00,00h 00m 01s,1,62773e83-611d-4576-bc5a-a839632d2fa0
380322,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,ES4-4.5,Protective field breach,Protective field breach,RESOLVED,,,2026-08-04 21:26:42 +07:00,00h 00m 01s,1,51b7abef-0135-42bb-8c0c-5cf2164020dd
380321,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:26:05 +07:00,00h 00m 25s,25,8a7e7e02-1aad-4d48-9f28-0111ef87df99
380320,TCF_EDU_4,MAG_FORKLIFT,TCF_EDU,EH4-4.8,Brake Engaged,,RESOLVED,,,2026-08-04 21:26:02 +07:00,00h 00m 02s,2,d6213296-f579-4d5d-85b6-eb8045833b91
380319,TCF_EDU_1,MAG_FORKLIFT,TCF_EDU,ES6-6.14,Docking position overshoot has detected,,RESOLVED,,,2026-08-04 21:24:47 +07:00,00h 03m 53s,233,efdfa2c9-465c-4798-8633-87fd9c7516d7
380318,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,EFMS2-1.1,Task stuck in assigned state,,RESOLVED,,Task 27547 has been stuck in assigned state,2026-08-04 21:22:46 +07:00,00h 01m 18s,78,a574d8eb-6390-451d-ac16-ed0a2e3f51d8
380317,TCF_EDU_3,MAG_FORKLIFT,TCF_EDU,FMS1-1.1,SERVICE CALL RESPONSE,,RESOLVED,,"Service call failed with data: {'serialNumber': 'TCF_EDU_3', 'actions': [{'actionType': 'customInstantAction', 'actionId': '53118ca4-229b-4875-b33f-62fe9c5dfd6f', 'actionDescription': 'service_call', 'blockingType': 'HARD', 'actionParameters': [{'key': 'service', 'value': '/TCF_EDU_3/remove_error'}, {'key': 'data', 'value': {'error_id': '71dffa77-f121-4a76-9d53-055fcea3ab3d'}}, {'key': 'require_response', 'value': True}]}]}",2026-08-04 21:22:45 +07:00,00h 00m 00s,0,
380316,TCF_EDU_3,MAG_FORKLIFT,TCF_EDU,EH4-4.11,Steering lock detected,,RESOLVED,,,2026-08-04 21:22:40 +07:00,00h 00m 05s,5,71dffa77-f121-4a76-9d53-055fcea3ab3d
380315,TCF_EDU_3,MAG_FORKLIFT,TCF_EDU,EH2-2.4,E-Stop not released properly. Press Resume button.,,RESOLVED,,,2026-08-04 21:22:29 +07:00,00h 00m 04s,4,070f9354-0cb1-491f-a44a-91d45c1621ab
